Variable:,tasmax
,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
1901,15.25,22.91,-0.55,23.86,22.99,21.16,15.80,13.39,17.79,18.46,25.92,23.11,23.10,13.77,17.29,16.74,15.45,20.24,19.05,24.93,9.55,17.46,13.20,12.04,11.26,23.52,19.80,12.64,17.13,18.70,10.59,15.57,21.05,11.96,20.21,11.12,15.55,23.41,14.61,14.26,13.16,22.53,15.24,19.90,25.96,16.99,10.39,18.55,13.49,16.56,12.35,13.32
1902,14.94,24.02,-1.03,23.57,22.15,20.54,15.27,13.87,18.44,19.12,27.08,24.19,22.72,13.09,16.68,16.88,14.30,18.98,19.65,25.23,9.77,18.10,13.67,12.26,11.02,24.15,18.30,11.59,15.99,18.37,10.87,16.09,21.03,12.22,21.09,10.25,15.95,22.46,14.39,14.70,13.70,23.36,13.84,20.60,25.88,16.39,10.52,19.37,12.97,17.37,12.22,12.84
1903,14.55,23.39,-0.81,23.40,21.68,20.85,14.20,13.88,18.21,18.85,26.52,23.56,23.02,12.36,16.58,16.63,14.11,18.58,19.45,24.51,9.89,17.85,13.72,11.92,9.93,23.49,18.19,11.44,15.66,18.09,11.16,16.04,20.24,12.28,20.71,10.01,15.99,21.55,14.22,14.69,13.65,22.94,13.36,20.28,24.29,15.59,10.85,18.97,12.77,17.34,11.43,11.87
1904,14.88,24.19,-1.35,24.44,22.53,21.37,15.49,12.43,16.90,17.66,26.90,24.04,23.02,13.85,15.92,15.84,13.81,19.58,19.21,25.78,8.22,16.64,12.19,10.59,9.38,24.46,18.23,12.38,16.78,18.95,9.43,14.68,20.81,10.73,20.23,9.60,14.95,23.10,15.09,13.45,12.22,22.88,13.84,20.43,25.86,16.77,8.96,18.22,13.95,16.64,10.59,13.39
1905,14.81,23.47,0.36,22.74,21.53,21.07,14.28,13.49,18.16,18.78,26.95,23.84,22.99,13.36,16.75,16.65,14.23,18.70,19.25,24.58,9.18,17.76,13.27,11.74,10.50,23.44,18.24,11.99,15.57,18.52,10.48,15.88,19.44,11.91,20.64,10.79,15.57,21.41,14.83,14.32,13.27,23.07,13.63,20.21,24.10,15.95,10.10,18.84,13.49,16.88,11.48,12.35
1906,14.96,24.08,-0.85,23.00,22.17,20.87,14.74,14.23,18.65,19.44,26.78,24.13,23.46,13.29,17.28,17.36,14.82,19.19,19.81,25.42,9.82,18.34,13.96,12.57,10.95,24.19,18.73,12.39,16.32,18.18,11.24,16.43,20.19,12.62,21.17,10.71,16.54,21.83,15.17,15.01,14.07,23.46,13.86,20.81,24.78,15.38,10.89,19.44,13.90,17.57,12.16,12.72
1907,14.85,24.41,-1.21,23.38,23.13,20.32,15.53,13.08,17.68,18.36,27.61,24.75,23.40,13.23,16.62,16.32,14.24,19.68,19.56,25.96,8.79,17.25,12.85,10.89,9.76,24.76,18.99,11.27,16.51,18.03,9.94,15.15,20.93,11.30,21.03,9.55,15.26,23.19,14.87,13.68,13.00,23.65,13.47,21.02,26.04,16.25,9.49,18.92,13.21,16.54,11.01,12.72
1908,15.29,24.60,-0.77,23.03,23.22,20.68,14.84,14.67,18.86,19.52,27.58,24.85,22.86,13.06,18.02,18.04,15.49,20.05,20.60,25.85,10.50,18.48,14.48,12.94,11.79,24.81,19.79,12.33,17.14,17.80,11.73,16.73,20.53,12.89,21.50,11.22,17.07,23.07,14.77,15.37,14.50,23.84,14.66,21.46,25.69,15.20,11.24,19.55,13.54,17.98,12.84,12.48
1909,14.64,24.47,-2.49,22.88,23.41,20.18,14.36,13.93,18.64,19.51,27.53,24.64,22.69,12.98,17.01,16.85,14.06,19.39,19.89,26.02,9.80,18.30,13.71,12.01,10.16,24.75,19.33,11.13,15.79,18.11,11.04,16.36,20.81,12.07,21.50,9.54,16.12,23.46,14.27,14.76,13.72,23.78,12.99,21.18,26.27,15.22,10.48,19.63,12.67,17.62,11.55,12.05
1910,15.50,24.00,-1.77,24.83,22.77,21.39,16.44,14.24,18.46,19.26,26.69,24.24,22.60,14.08,17.20,16.83,15.48,20.53,19.46,25.83,10.10,18.12,13.92,12.50,12.19,24.25,19.16,13.36,17.67,19.48,11.44,16.32,22.13,12.36,21.08,11.88,15.94,23.95,15.17,14.78,13.95,23.51,15.28,20.56,26.51,17.03,10.83,19.08,13.62,17.07,12.81,14.22
